ts,name,cpuPct,mem
2026-07-23T12:07:04,lucky-star-game-service,1.75%,675.4MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-member-service,0.39%,586.4MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-wallet-service,1.41%,750MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-admin-service,0.58%,606.6MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-rank-service,0.61%,509MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-notification-service,3.64%,329.8MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-kafka-ui,0.10%,265.5MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-postgres,0.22%,383.2MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-redis,0.38%,8.859MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-kafka,3.92%,953.9MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-mysql,0.72%,507.6MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-grafana,0.07%,52.22MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-prometheus,0.58%,66.4MiB / 15.47GiB
2026-07-23T12:07:04,lucky-star-zookeeper,4.97%,134.6MiB / 15.47GiB
2026-07-23T12:07:11,lucky-star-gateway-service,10.56%,463.7MiB / 15.47GiB
2026-07-23T12:07:11,lucky-star-game-service,0.57%,675.4MiB / 15.47GiB
2026-07-23T12:07:11,lucky-star-member-service,0.96%,586.9MiB / 15.47GiB
